variable,description,variable_type,summary,summary for the subset,variable used in persistent leanness
blods0,Blood glucose 0-hours value (oral glucose tolerance test),C,mean : 5.38 ; min : 0 ; max : 51 ; sd : 0.84; missing values : 594,mean : 5.4 , min : 2 , max : 23.4 , sd : 0.73, missing values : 220,Y
blods2,Blood glucose 2-hours value (oral glucose tolerance test),C,mean : 6.59 ; min : 0 ; max : 64.1 ; sd : 1.72; missing values : 6142,mean : 6.6 , min : 1 , max : 25.9 , sd : 1.48, missing values : 2433,Y
sbt;,Systolic blood pressure. *,C,mean : 126.3 ; min : 12 ; max : 285 ; sd : 17.22; missing values : 910,mean : 126.04 , min : 70 , max : 230 , sd : 17.57, missing values : 376,N
dbt;,Diastolic blood pressure. *,C,mean : 78.97 ; min : 8 ; max : 178 ; sd : 10.77; missing values : 986,mean : 78.56 , min : 26 , max : 150 , sd : 11.28, missing values : 410,N
civil,Marital status : 1 = Single; 2 = Married/partner + remarried/a new partner; 3 = Divorced/separated; 4 = Widow/widower; Numbers with two or more digits indicates combined alternatives.,D,1 : 17065 ; 2 : 134051 ; 3 : 12806 ; 4 : 2897 ; 21 : 2 ; 31 : 1 ; 32 : 2 ; missing values : 1506,1 : 5691 ; 2 : 57013 ; 3 : 5005 ; 4 : 812 ; 21 : 1 ; 32 : 1 ; missing values : 467,N
utbild,Educational level: 1 = Elementary school + nine-year (compulsory) school; 2 = Folk high school equivalent to nine-year (compulsory) school + junior secondary school + girls’ school + vocational (training) school; 3 = Folk high school equivalent to upper secondary school + girls’ school equivalent to upper secondary school; 4 = University education/college,D,1 : 31756 ; 2 : 29908 ; 3 : 56127 ; 4 : 48267 ; missing values : 2272,1 : 10912 ; 2 : 13401 ; 3 : 24154 ; 4 : 20138 ; missing values : 385,N
sambo,Who do you live with:  1 = Only one adult (spouse; partner); 2 = Only children; 3 = Adult and children; 4 = Other/others; 5 = Live alone; 9999 = Not living alone,D,1 : 60530 ; 2 : 8049 ; 3 : 73134 ; 4 : 2318 ; 5 : 19525 ; missing values : 4774,1 : 24148 ; 2 : 3333 ; 3 : 33883 ; 4 : 781 ; 5 : 6354 ; missing values : 491,N
skiftarbete,Do you work shifts /weekends? : 1 = Yes; 2 = No,D,1 : 40839 ; 2 : 115685 ; missing values : 11806,1 : 17402 ; 2 : 48189 ; missing values : 3399,N
sjukskriven,Have you been long-term sick-listed for more than 6 months?;1 = Yes;2=No,D,1 : 28626 ; 2 : 121953 ; missing values : 17751,1 : 11306 ; 2 : 53723 ; missing values : 3961,N
ansttyp_a,Type of employment:ansttyp_a = Permanent employment;1 = Yes,D,1 : 98822 ; missing values : 69508,1 : 39937 ; missing values : 29053,N
ansttyp_b,Type of employment:;ansttyp_b =Temporary employment; deputyship; public relief work;1 = Yes,D,1 : 10106 ; missing values : 158224,1 : 4047 ; missing values : 64943,N
ansttyp_c,Type of employment:ansttyp_c = Works at home;1 = Yes,D,1 : 2945 ; missing values : 165385,1 : 863 ; missing values : 68127,N
ansttyp_d,Type of employment:ansttyp_d = Unemployed;1 = Yes,D,1 : 7236 ; missing values : 161094,1 : 2528 ; missing values : 66462,N
ansttyp_e,Type of employment:ansttyp_e = Student;1 = Yes,D,1 : 3297 ; missing values : 165033,1 : 1252 ; missing values : 67738,N
ansttyp_f,Type of employment:ansttyp_f = Self-employed;1 = Yes,D,1 : 14399 ; missing values : 153931,1 : 5997 ; missing values : 62993,N
ansttyp_g,Type of employment:ansttyp_g = Retirement pensioner (due to illness-/in advance-/age-) full time;1 = Yes,D,1 : 9725 ; missing values : 158605,1 : 2848 ; missing values : 66142,N
ansttyp_h,Type of employment:ansttyp_h = Retirement pensioner (due to illness-/in advance-/age-) part-time;1 = Yes,D,1 : 4875 ; missing values : 163455,1 : 1454 ; missing values : 67536,N
ansttyp_i,Type of employment:;ansttyp_i = Retirement pensioner (due to illness-/in advance-/age-) unspecified;1 = Yes,D,1 : 498 ; missing values : 167832,missing values : 68990,N
ursprungsland,What country are you from: ;1 = Sweden;2 = Other country; specify (see ursprungsland_vilket),D,1 : 126892 ; 2 : 7039 ; missing values : 34399,1 : 52574 ; 2 : 1932 ; missing values : 14484,N
ursprungsland_vilket,Specifies country of origin,D,,,N
halsojf,Overall state of health compared to others your age?;1 = Better;2 = About the same;3 = Worse,D,1 : 9593 ; 2 : 57325 ; 3 : 5780 ; missing values : 95632,1 : 4298 ; 2 : 28481 ; 3 : 2403 ; missing values : 33808,N
halsoal,How would you assess your overall state of health?;1 = Good;2 = Neither poor nor good / something in between;3 = Poor,D,1 : 3186 ; 2 : 1502 ; 3 : 107 ; missing values : 163535,missing values : 68990,N
halsoar,State of health during the last year?;1 = Poor; 2 = Fairly poor;3 = Tolerably; 4 = Fairly good;5 = Very good,D,1 : 2152 ; 2 : 8090 ; 3 : 32421 ; 4 : 75673 ; 5 : 43811 ; missing values : 6183,1 : 804 ; 2 : 3175 ; 3 : 12945 ; 4 : 32605 ; 5 : 19054 ; missing values : 407,N
hjartinf_foraldrar_syskon,Have any of your parents or siblings had a cerebral hemorrhage/thrombosis or cardiac infarction before the age of 60?;1= Yes;2 = No;3 = Unknown,D,1 : 31897 ; 2 : 126838 ; 3 : 3402 ; missing values : 6193,1 : 13588 ; 2 : 53828 ; 3 : 1164 ; missing values : 410,N
diab_foraldrar_syskon,Do any of your parents or siblings have diabetes?;1= Yes;2 = No;3 = Unknown ,D,1 : 33580 ; 2 : 125322 ; 3 : 3171 ; missing values : 6257,1 : 13866 ; 2 : 53630 ; 3 : 1046 ; missing values : 448,N
beskbltr,Have you at any occasion been informed that you have a high blood pressure?;1 = Yes;2 = No,D,1 : 38159 ; 2 : 126417 ; missing values : 3754,1 : 14846 ; 2 : 53746 ; missing values : 398,N
med_C5a,Blood pressure medication;1 = Yes,D,1 : 19727 ; missing values : 148603,1 : 7363 ; missing values : 61627,N
med_C5b,Heart/angina pectoris medication;1 = Yes,D,1 : 2306 ; missing values : 166024,1 : 748 ; missing values : 68242,N
med_C5c,Tranquillizers or sleeping drugs;1 = Yes,D,1 : 8886 ; missing values : 159444,1 : 3098 ; missing values : 65892,N
med_C5d,Ulcer/gastric discomfort medication;1 = Yes,D,1 : 9433 ; missing values : 158897,1 : 3844 ; missing values : 65146,N
med_C5e,Lipid lowering medication;1 = Yes,D,1 : 4329 ; missing values : 164001,1 : 1733 ; missing values : 67257,N
med_C5f,No; I do not use any of the drugs above;1 = Yes,D,1 : 117776 ; missing values : 50554,1 : 52558 ; missing values : 16432,N
smartmed,Pain-relieving medication;1 = Yes,D,1 : 12783 ; missing values : 155547,1 : 1782 ; missing values : 67208,N
andra_mediciner,any other prescription medication; e.g . medication for  depression; epilepsy; penicillin or hormones;;or any over-the-counter medication; e.g. magnecyl (ASA); vitamins; iron supplements; omega 3 or any other;dietary supplements; naturopathic supplements or other supplements?;1 = Yes;2 = No,D,1 : 10783 ; 2 : 14798 ; missing values : 142749,1 : 1769 ; 2 : 2421 ; missing values : 64800,N
diabet,Do you have diabetes?;1 = Yes;2 = No,D,2 : 166888 ; missing values : 1442,2 : 68670 ; missing values : 320,N
diabetesbehandling_a,If your answer to the diabetes question is ”Yes”; are you being treated with?;diabetesbehandling_a = Only diet and exercise,D,missing values : 168330,missing values : 68990,N
diabetesbehandling_b,If your answer to the diabetes question is ”Yes”; are you being treated with? Diabetesbehandling_b = Pills,D,missing values : 168330,missing values : 68990,N
diabetesbehandling_c,If your answer to the diabetes question is ”Yes”; are you being treated with? diabetesbehandling_c = Insulin,D,missing values : 168330,missing values : 68990,N
diabetesbehandling_d,If your answer to the diabetes question is ”Yes”; are you being treated with? diabetsbehandling_d = No treatment with any of the above,D,1 : 10805 ; missing values : 157525,1 : 4384 ; missing values : 64606,N
graviditetsdiabetes,Have you had gestational diabetes?;1 = Yes;2 = No,D,1 : 476 ; 2 : 14073 ; missing values : 153781,1 : 100 ; 2 : 2320 ; missing values : 66570,N
infarkt_sjukhus,Have you been hospitalized because of a verified heart attack?;1= Yes;2 = No,D,2 : 161316 ; missing values : 7014,2 : 68283 ; missing values : 707,N
infarkt_sjukhus_ar,If you have been hospitalized because of a verified heart attack; in what year?;(4 participant answered 2 for No; the rest had either missing data; or 9999 for ;not answered or 8888 for not having that question.,D,missing values : 168330,missing values : 68990,N
sf_1,How would you rate your overall health?;1= Excellent; 2 = Very good;3 = Good; 4 = Fairly good;5 = Poor,D,1 : 11386 ; 2 : 27981 ; 3 : 28975 ; 4 : 11532 ; 5 : 1454 ; missing values : 87002,1 : 4350 ; 2 : 10148 ; 3 : 10535 ; 4 : 4197 ; 5 : 428 ; missing values : 39332,N
sf_2,Compared to a year ago; how would you rate your overall health now?;1 = Much better than a year ago; 2 = A little better than a year ago;3 = About the same; 4 = A little worse than a year ago;5 = Much worse than a year ago,D,1 : 3664 ; 2 : 10622 ; 3 : 56447 ; 4 : 8977 ; 5 : 977 ; missing values : 87643,1 : 1163 ; 2 : 3484 ; 3 : 21398 ; 4 : 3106 ; 5 : 301 ; missing values : 39538,N
sf_3a,Are you; due to your physical state of health; limited in your ability to participate in strenuous activities like running; lifting heavy objects; taking part in physically demanding sports?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 12993 ; 2 : 30859 ; 3 : 37270 ; missing values : 87208,1 : 5114 ; 2 : 11786 ; 3 : 12706 ; missing values : 39384,N
sf_3b,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like moving a table; vacuuming; walking in the forest or gardening?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 1980 ; 2 : 11658 ; 3 : 67494 ; missing values : 87198,1 : 700 ; 2 : 4538 ; 3 : 24371 ; missing values : 39381,N
sf_3c,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like lifting or carrying grocery bags?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 2648 ; 2 : 11811 ; 3 : 66596 ; missing values : 87275,1 : 1017 ; 2 : 4816 ; 3 : 23753 ; missing values : 39404,N
sf_3d,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like walking up several stairs?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 2398 ; 2 : 11532 ; 3 : 67153 ; missing values : 87247,1 : 793 ; 2 : 4382 ; 3 : 24424 ; missing values : 39391,N
sf_3e,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like walking up one flight of  stairs?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 735 ; 2 : 4278 ; 3 : 75863 ; missing values : 87454,1 : 201 ; 2 : 1529 ; 3 : 27792 ; missing values : 39468,N
sf_3f,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like bending down or kneeling?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 3292 ; 2 : 15593 ; 3 : 62073 ; missing values : 87372,1 : 1181 ; 2 : 5979 ; 3 : 22401 ; missing values : 39429,N
sf_3g,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like walking more than 2 kilometers?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 3176 ; 2 : 8370 ; 3 : 69532 ; missing values : 87252,1 : 1060 ; 2 : 3068 ; 3 : 25479 ; missing values : 39383,N
sf_3h,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like walking more than a few hundred meters?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 940 ; 2 : 3242 ; 3 : 76881 ; missing values : 87267,1 : 255 ; 2 : 1069 ; 3 : 28257 ; missing values : 39409,N
sf_3i,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like walking a hundred meters?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 578 ; 2 : 2127 ; 3 : 78241 ; missing values : 87384,1 : 145 ; 2 : 731 ; 3 : 28669 ; missing values : 39445,N
sf_3j,Are you; due to your physical state of health; limited in your ability to participate in moderately demanding activities like bathing or getting dressed?;1 = Yes; very limited;2 = Yes; a little limited;3 = No; not limited at all,D,1 : 519 ; 2 : 3701 ; 3 : 76948 ; missing values : 87162,1 : 122 ; 2 : 1307 ; 3 : 28203 ; missing values : 39358,N
sf_4a,During the last four weeks; have you as a consequence of your physical state of health; spent less time than normal at work or in other activities?;1 = Yes;2 = No,D,1 : 9172 ; 2 : 71922 ; missing values : 87236,1 : 3360 ; 2 : 26260 ; missing values : 39370,N
sf_4b,During the last four weeks; have you as a consequence of your physical state of health; done less than you wanted?;1 = Yes;2 = No,D,1 : 15986 ; 2 : 65060 ; missing values : 87284,1 : 5840 ; 2 : 23756 ; missing values : 39394,N
sf_4c,During the last four weeks; have you as a consequence of your physical state of health; not been able to perform certain work tasks or other activities?;1 = Yes;2 = No,D,1 : 12242 ; 2 : 68571 ; missing values : 87517,1 : 4469 ; 2 : 25044 ; missing values : 39477,N
sf_4d,During the last four weeks; have you as a consequence of your physical state of health; been limited in your ability to perform certain work tasks or other activities?;1 = Yes;2 = No,D,1 : 11108 ; 2 : 69802 ; missing values : 87420,1 : 4075 ; 2 : 25461 ; missing values : 39454,N
sf_5a,During the last four weeks; have you as a consequence of emotional problems spent less time than normal at work or in other activities?;1 = Yes;2 = No,D,1 : 6787 ; 2 : 74335 ; missing values : 87208,1 : 2201 ; 2 : 27428 ; missing values : 39361,N
sf_5b,During the last four weeks; have you as a consequence of emotional problems done less than you wanted?;1 = Yes;2 = No,D,1 : 11937 ; 2 : 69167 ; missing values : 87226,1 : 3989 ; 2 : 25644 ; missing values : 39357,N
sf_5c,During the last four weeks; have you as a consequence of emotional problems been less thorough than usual in work or other activities?;1 = Yes;2 = No,D,1 : 6551 ; 2 : 74478 ; missing values : 87301,1 : 2140 ; 2 : 27462 ; missing values : 39388,N
sf_6,During the last four weeks; to what extent have your physical or emotional health disrupted your usual social life with family; friends; neighbors or others?;1 = Not at all; 2 = A little;3 = Moderately; 4 = Much;5 = Very much,D,1 : 60821 ; 2 : 11429 ; 3 : 6012 ; 4 : 2323 ; 5 : 537 ; missing values : 87208,1 : 22628 ; 2 : 4011 ; 3 : 2108 ; 4 : 713 ; 5 : 146 ; missing values : 39384,N
sf_7,How much ache or pain have you felt during the last four weeks?;1 = None; 2 = Very little;3 = Little; 4 = Moderate;5 = Severe; 6 = Very severe,D,1 : 28165 ; 2 : 16331 ; 3 : 12404 ; 4 : 18525 ; 5 : 4926 ; 6 : 705 ; missing values : 87274,1 : 9843 ; 2 : 5929 ; 3 : 4512 ; 4 : 7289 ; 5 : 1775 ; 6 : 216 ; missing values : 39426,N
sf_8,During the last four weeks; how much has the aching or pain disturbed your normal work?;1 = Not at all; 2 = A little;3 = Moderately; 4 = Much;5 = Very much,D,1 : 46588 ; 2 : 17209 ; 3 : 11321 ; 4 : 4678 ; 5 : 1083 ; missing values : 87451,1 : 16507 ; 2 : 6454 ; 3 : 4491 ; 4 : 1688 ; 5 : 374 ; missing values : 39476,N
sf_9a,For how much of the time during the last four weeks have you felt really alert and strong?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 9498 ; 2 : 32181 ; 3 : 15356 ; 4 : 13071 ; 5 : 7261 ; 6 : 3568 ; missing values : 87395,1 : 3713 ; 2 : 12250 ; 3 : 5282 ; 4 : 4478 ; 5 : 2533 ; 6 : 1284 ; missing values : 39450,N
sf_9b,For how much of the time during the last four weeks have you felt very nervous?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 401 ; 2 : 562 ; 3 : 1788 ; 4 : 4265 ; 5 : 16837 ; 6 : 57203 ; missing values : 87274,1 : 118 ; 2 : 135 ; 3 : 564 ; 4 : 1321 ; 5 : 5814 ; 6 : 21630 ; missing values : 39408,N
sf_9c,For how much of the time during the last four weeks have you felt so depressed that nothing could cheer you up?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 352 ; 2 : 512 ; 3 : 1365 ; 4 : 3115 ; 5 : 9149 ; 6 : 66515 ; missing values : 87322,1 : 108 ; 2 : 137 ; 3 : 402 ; 4 : 1023 ; 5 : 3249 ; 6 : 24675 ; missing values : 39396,N
sf_9d,For how much of the time during the last four weeks have you felt calm and serene?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 15796 ; 2 : 35869 ; 3 : 13358 ; 4 : 9567 ; 5 : 4781 ; 6 : 1668 ; missing values : 87291,1 : 6418 ; 2 : 13561 ; 3 : 4488 ; 4 : 3050 ; 5 : 1524 ; 6 : 541 ; missing values : 39408,N
sf_9e,For how much of the time during the last four weeks have you felt full of energy?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 6602 ; 2 : 25092 ; 3 : 19728 ; 4 : 15587 ; 5 : 9489 ; 6 : 4389 ; missing values : 87443,1 : 2620 ; 2 : 9876 ; 3 : 7144 ; 4 : 5297 ; 5 : 3107 ; 6 : 1498 ; missing values : 39448,N
sf_9f,For how much of the time during the last four weeks have you felt gloomy and sad?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 464 ; 2 : 989 ; 3 : 2507 ; 4 : 6585 ; 5 : 23597 ; 6 : 46780 ; missing values : 87408,1 : 157 ; 2 : 273 ; 3 : 804 ; 4 : 2236 ; 5 : 8439 ; 6 : 17649 ; missing values : 39432,N
sf_9g,For how much of the time during the last four weeks have you felt worn out?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 1356 ; 2 : 3086 ; 3 : 6717 ; 4 : 12698 ; 5 : 26277 ; 6 : 30576 ; missing values : 87620,1 : 428 ; 2 : 1035 ; 3 : 2363 ; 4 : 4536 ; 5 : 9722 ; 6 : 11421 ; missing values : 39485,N
sf_9h,For how much of the time during the last four weeks have you felt happy?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 10690 ; 2 : 34441 ; 3 : 16305 ; 4 : 11969 ; 5 : 6050 ; 6 : 1514 ; missing values : 87361,1 : 4000 ; 2 : 13015 ; 3 : 5812 ; 4 : 4173 ; 5 : 2062 ; 6 : 501 ; missing values : 39427,N
sf_9i,For how much of the time during the last four weeks have you felt tired?;1 = All of the time; 2 = Most of the time;3 = Much of the time; 4 = Part of the time;5 = A little of the time; 6 = None of the time,D,1 : 2737 ; 2 : 5640 ; 3 : 12879 ; 4 : 19406 ; 5 : 30768 ; 6 : 9663 ; missing values : 87237,1 : 870 ; 2 : 1928 ; 3 : 4550 ; 4 : 6825 ; 5 : 11590 ; 6 : 3830 ; missing values : 39397,N
sf_10,During the last four weeks; how much of the time has your physical health or your emotional problems limited your ability to interact with others (e.g. visiting relatives and friends etc.)?;1 = All of the time; 2 = Most of the time;3 = Part of the time; 4 = A little of the time;5 = None of the time,D,1 : 474 ; 2 : 1984 ; 3 : 7296 ; 4 : 12672 ; 5 : 58203 ; missing values : 87701,1 : 131 ; 2 : 622 ; 3 : 2566 ; 4 : 4547 ; 5 : 21557 ; missing values : 39567,N
sf_11a,I seem to get sick a little more often than other people.;1 = Altogether true; 2 = Mostly true;3 = Unsure; 4 = Not very true;5 = Not at all true,D,1 : 586 ; 2 : 2617 ; 3 : 5493 ; 4 : 13689 ; 5 : 58593 ; missing values : 87352,1 : 144 ; 2 : 751 ; 3 : 1765 ; 4 : 4920 ; 5 : 21973 ; missing values : 39437,N
sf_11b,I am as healthy as anyone I know.;1 = Totally true; 2 = Mostly true;3 = Unsure; 4 = Not very true;5 = Not at all true,D,1 : 36708 ; 2 : 25602 ; 3 : 9009 ; 4 : 5787 ; 5 : 3642 ; missing values : 87582,1 : 13483 ; 2 : 9445 ; 3 : 3160 ; 4 : 2123 ; 5 : 1250 ; missing values : 39529,N
sf_11c,I believe my health will worsen.;1 = Totally true; 2 = Mostly true;3 = Unsure; 4 = Not very true;5 = Not at all true,D,1 : 1639 ; 2 : 6913 ; 3 : 24912 ; 4 : 17733 ; 5 : 29556 ; missing values : 87577,1 : 552 ; 2 : 2572 ; 3 : 9113 ; 4 : 6652 ; 5 : 10580 ; missing values : 39521,N
sf_11d,My health is excellent;1 = Totally true; 2 = Mostly true;3 = Unsure; 4 = Not very true;5 = Not at all true,D,1 : 18769 ; 2 : 38831 ; 3 : 9911 ; 4 : 8916 ; 5 : 4506 ; missing values : 87397,1 : 7208 ; 2 : 14247 ; 3 : 3367 ; 4 : 3223 ; 5 : 1492 ; missing values : 39453,N
livskvalitet_d1,Very poor = 1 …. Excellent = 7;livskvalitet_d1 = Home and family situation,D,1 : 605 ; 2 : 1547 ; 3 : 3421 ; 4 : 6894 ; 5 : 14429 ; 6 : 31318 ; 7 : 61823 ; missing values : 48293,1 : 169 ; 2 : 546 ; 3 : 1303 ; 4 : 2690 ; 5 : 5823 ; 6 : 13411 ; 7 : 27092 ; missing values : 17956,N
livskvalitet_d2,Very poor = 1 …. Excellent = 7;livskvalitet_d2 = Acommodation,D,1 : 328 ; 2 : 817 ; 3 : 2173 ; 4 : 5444 ; 5 : 13006 ; 6 : 29890 ; 7 : 68519 ; missing values : 48153,1 : 71 ; 2 : 252 ; 3 : 732 ; 4 : 2101 ; 5 : 5178 ; 6 : 12696 ; 7 : 30035 ; missing values : 17925,N
livskvalitet_d3,Very poor = 1 …. Excellent = 7;livskvalitet_d3 = Work situation,D,1 : 4839 ; 2 : 4766 ; 3 : 8032 ; 4 : 15752 ; 5 : 25802 ; 6 : 30137 ; 7 : 28605 ; missing values : 50397,1 : 1714 ; 2 : 1926 ; 3 : 3465 ; 4 : 6982 ; 5 : 11430 ; 6 : 13047 ; 7 : 11783 ; missing values : 18643,N
livskvalitet_d4,Very poor = 1 …. Excellent = 7;livskvalitet_d4 = Economy,D,1 : 2312 ; 2 : 3464 ; 3 : 6325 ; 4 : 14011 ; 5 : 24499 ; 6 : 34030 ; 7 : 35358 ; missing values : 48331,1 : 712 ; 2 : 1348 ; 3 : 2597 ; 4 : 6125 ; 5 : 10605 ; 6 : 14702 ; 7 : 14941 ; missing values : 17960,N
livskvalitet_d5,Very poor = 1 …. Excellent = 7;livskvalitet_d5 = Leisure time,D,1 : 1287 ; 2 : 3150 ; 3 : 6189 ; 4 : 12700 ; 5 : 22550 ; 6 : 32892 ; 7 : 41088 ; missing values : 48474,1 : 421 ; 2 : 1171 ; 3 : 2414 ; 4 : 5149 ; 5 : 9582 ; 6 : 14534 ; 7 : 17692 ; missing values : 18027,N
livskvalitet_d6,Very poor = 1 …. Excellent = 7;Livskvalitet_d6 = Hearing,D,1 : 877 ; 2 : 2963 ; 3 : 8630 ; 4 : 12841 ; 5 : 23279 ; 6 : 32587 ; 7 : 38999 ; missing values : 48154,1 : 331 ; 2 : 1256 ; 3 : 3787 ; 4 : 5549 ; 5 : 10116 ; 6 : 14054 ; 7 : 15970 ; missing values : 17927,N
livskvalitet_d7,Very poor = 1 …. Excellent = 7;Livskvalitet_d7 = Vision,D,1 : 770 ; 2 : 2700 ; 3 : 11186 ; 4 : 24032 ; 5 : 35047 ; 6 : 29001 ; 7 : 17219 ; missing values : 48375,1 : 270 ; 2 : 1138 ; 3 : 5016 ; 4 : 10816 ; 5 : 15387 ; 6 : 11916 ; 7 : 6438 ; missing values : 18009,N
livskvalitet_d8,Very poor = 1 …. Excellent = 7;Livskvalitet_d8 = Memory,D,1 : 687 ; 2 : 2035 ; 3 : 6157 ; 4 : 14837 ; 5 : 30455 ; 6 : 40472 ; 7 : 25150 ; missing values : 48537,1 : 232 ; 2 : 774 ; 3 : 2611 ; 4 : 6520 ; 5 : 13493 ; 6 : 17673 ; 7 : 9628 ; missing values : 18059,N
livskvalitet_d9,Very poor = 1 …. Excellent = 7;Livskvalitet_d9 = Fitness,D,1 : 2544 ; 2 : 6190 ; 3 : 14461 ; 4 : 27594 ; 5 : 35080 ; 6 : 23184 ; 7 : 10918 ; missing values : 48359,1 : 876 ; 2 : 2341 ; 3 : 5757 ; 4 : 11866 ; 5 : 15470 ; 6 : 10258 ; 7 : 4427 ; missing values : 17995,N
livskvalitet_d10,Very poor = 1 …. Excellent = 7;Livskvalitet_d10 = Appetite,D,1 : 158 ; 2 : 482 ; 3 : 1707 ; 4 : 6080 ; 5 : 13262 ; 6 : 30693 ; 7 : 67656 ; missing values : 48292,1 : 31 ; 2 : 136 ; 3 : 568 ; 4 : 2288 ; 5 : 5407 ; 6 : 13090 ; 7 : 29504 ; missing values : 17966,N
livskvalitet_d11,Very poor = 1 …. Excellent = 7;Livskvalitet_d11 = Mood,D,1 : 370 ; 2 : 1727 ; 3 : 4887 ; 4 : 12870 ; 5 : 26696 ; 6 : 41038 ; 7 : 32365 ; missing values : 48377,1 : 109 ; 2 : 610 ; 3 : 1907 ; 4 : 5458 ; 5 : 11540 ; 6 : 17830 ; 7 : 13557 ; missing values : 17979,N
